year,bray_curtis_dissimilarity_balanced_mean,bray_curtis_dissimilarity_gradient_mean,bray_curtis_dissimilarity_total_mean,jaccard_dissimilarity_turnover_mean,jaccard_dissimilarity_nestedness_mean,jaccard_dissimilarity_total_mean,domain,b_divers_gam_pred,b_divers_theilsen_pred
1984,0.510879466144925,0.191226284187062,0.702105750331987,0.546524488213338,0.088468363412223,0.634992851625561,Full,0.695066861803438,0.715148680989245
1985,0.483015261965483,0.20604477879615,0.689060040761633,0.504078966623548,0.100495334599532,0.60457430122308,Full,0.699664956062391,0.714804585015431
1986,0.492624254461927,0.221065859929735,0.713690114391661,0.521317461259286,0.101759831764194,0.623077293023481,Full,0.704107028180981,0.714460489041617
1987,0.472503613094787,0.216002223033121,0.688505836127908,0.513308534897768,0.0891173317902064,0.602425866687974,Full,0.708237056018842,0.714116393067803
1988,0.505357972108909,0.217062588292144,0.722420560401053,0.546234576488851,0.0910262819802094,0.637260858469061,Full,0.71189904058671,0.713772297093989
1989,0.490121218108968,0.220288508821094,0.710409726930062,0.527292518585726,0.0830978446913454,0.610390363277071,Full,0.714960041389725,0.713428201120175
1990,0.536256298897975,0.201280293577977,0.737536592475953,0.554803420714328,0.0826835574128857,0.637486978127214,Full,0.717353445831094,0.713084105146361
1991,0.50672915029084,0.201098463938001,0.707827614228841,0.56001966365452,0.0806341296520386,0.640653793306559,Full,0.71902449467661,0.712740009172548
1992,0.514390609916624,0.22258303084747,0.736973640764093,0.523982691363154,0.0866187079575349,0.610601399320688,Full,0.719918932420747,0.712395913198734
1993,0.46619630711204,0.217793228799394,0.683989535911434,0.51172137627233,0.0844223373029413,0.596143713575272,Full,0.720064296502418,0.71205181722492
1994,0.503879604440812,0.212428443091407,0.716308047532219,0.507986313050459,0.0885295579186819,0.596515870969141,Full,0.719659643976133,0.711707721251106
1995,0.540392343403065,0.221698173232642,0.762090516635707,0.530518233035128,0.0843520830247142,0.614870316059843,Full,0.718925629263564,0.711363625277292
1996,0.497854020632997,0.204005952659289,0.701859973292286,0.502025994469109,0.0936317094775774,0.595657703946686,Full,0.71807751259105,0.711019529303478
1997,0.536139024937764,0.185175652434739,0.721314677372503,0.506023426117165,0.0980961162176862,0.604119542334851,Full,0.717006902465107,0.710675433329664
1998,0.485607803274567,0.189474044448248,0.675081847722815,0.492427433422278,0.100106562865662,0.59253399628794,Full,0.715103747226512,0.71033133735585
1999,0.519655841742738,0.228544266053198,0.748200107795936,0.563463441885496,0.077194451669506,0.640657893555002,Full,0.711714841653405,0.709987241382036
2000,0.490485638076192,0.219927881981987,0.710413520058178,0.528024220852513,0.089458860837842,0.617483081690355,Full,0.706241862729522,0.709643145408222
2001,0.454095942191093,0.234951604745064,0.689047546936157,0.533631619306454,0.0828057446118962,0.61643736391835,Full,0.699750961830362,0.709299049434408
2002,0.500532418827344,0.213038176035482,0.713570594862826,0.529632836179807,0.0856545412142494,0.615287377394057,Full,0.695232597665326,0.708954953460595
2003,0.462711884711368,0.214953808463775,0.677665693175142,0.531846761236882,0.0831583747759766,0.615005136012858,Full,0.695784420751635,0.708610857486781
2004,0.492747226618697,0.207097522197068,0.699844748815765,0.530499098098033,0.0829205739755931,0.613419672073626,Full,0.704296723153258,0.708266761512967
2005,0.504897243494488,0.206161615857496,0.711058859351983,0.518778235604757,0.0869474632600574,0.605725698864814,Full,0.719937297981485,0.707922665539153
2006,0.553456871378498,0.180659140966977,0.734116012345475,0.560917741615062,0.0717528133311991,0.632670554946261,Full,0.738654076285591,0.707578569565339
2007,0.567005868687807,0.195702327785168,0.762708196472975,0.539673022295828,0.0910124349906785,0.630685457286507,Full,0.756288821586791,0.707234473591525
2008,0.579481783596711,0.187135182920782,0.766616966517492,0.565553601846669,0.0768320371764751,0.642385639023144,Full,0.768842317007024,0.706890377617711
2009,0.587209475080744,0.209143728490668,0.796353203571412,0.571558949296554,0.0801570019137702,0.651715951210325,Full,0.774163948526674,0.706546281643897
2010,0.586018954702644,0.197761337472665,0.783780292175309,0.587438116045669,0.0732462684841954,0.660684384529864,Full,0.771295749131574,0.706202185670083
2011,0.512719208024561,0.219724332485624,0.732443540510186,0.547992483953209,0.0812680209867368,0.629260504939946,Full,0.759299629257643,0.705858089696269
2012,0.537582494693499,0.19688150849204,0.73446400318554,0.563545383002733,0.0824328775876868,0.64597826059042,Full,0.737740872222095,0.705513993722455
2013,0.546421262967825,0.200330004326774,0.746751267294598,0.551553171920511,0.0817342856055674,0.633287457526079,Full,0.710182393204058,0.705169897748641
2014,0.449260743567148,0.22976499663983,0.679025740206978,0.519222719013421,0.0910535626025661,0.610276281615987,Full,0.682093467070118,0.704825801774828
2015,0.405768205819446,0.231477681940038,0.637245887759485,0.546462351465949,0.0761279099333575,0.622590261399307,Full,0.658955109162224,0.704481705801014
2016,0.43032260573486,0.20037706027093,0.630699666005791,0.498697781017083,0.0874605184170394,0.586158299434122,Full,0.645274431811914,0.7041376098272
2017,0.421850196725884,0.219380423495998,0.641230620221882,0.526593925091515,0.0888344683308706,0.615428393422385,Full,0.640108875231908,0.703793513853386
2018,0.437885862672428,0.201777640607293,0.639663503279721,0.480638025610025,0.0921133648813904,0.572751390491415,Full,0.640621333934984,0.703449417879572
2019,0.449450746712429,0.205996927337085,0.655447674049515,0.482169521759118,0.0895492993304193,0.571718821089537,Full,0.6439728002796,0.703105321905758
1984,0.238352433338801,0.228408508987505,0.466760942326305,0.347167344988585,0.0942242868918586,0.441391631880444,Inner,0.471914325867228,0.46740008650707
1985,0.232539805329832,0.25982598079784,0.492365786127671,0.235169691923505,0.141520955341761,0.376690647265266,Inner,0.473160540964298,0.467730792992134
1986,0.260320400819029,0.200160812094214,0.460481212913243,0.29128423608579,0.104911314941883,0.396195551027673,Inner,0.474613819678435,0.468061499477199
1987,0.226285716389416,0.239837956844035,0.466123673233452,0.283355516691978,0.142412366026221,0.425767882718199,Inner,0.476481225626708,0.468392205962264
1988,0.25123686952043,0.244486828250876,0.495723697771306,0.321262983399188,0.128707884524126,0.449970867923314,Inner,0.478969580317759,0.468722912447328
1989,0.175604759080867,0.294191400663106,0.469796159743972,0.354836905901121,0.105400831266427,0.460237737167547,Inner,0.482044565267428,0.469053618932393
1990,0.215094059848572,0.26340366739198,0.478497727240552,0.306135738369011,0.121907177666525,0.428042916035536,Inner,0.484978221349615,0.469384325417458
1991,0.24298893262975,0.223251851832476,0.466240784462226,0.304083621849918,0.129086393457439,0.433170015307357,Inner,0.486918629923847,0.469715031902522
1992,0.253105492156826,0.279198607330344,0.532304099487171,0.258557698538203,0.132950054848076,0.391507753386279,Inner,0.487016401512333,0.470045738387587
1993,0.226246054857989,0.23313390920496,0.459379964062948,0.245553123693028,0.12369897373349,0.369252097426518,Inner,0.48483281942769,0.470376444872652
1994,0.239592871382044,0.25849732944517,0.498090200827214,0.267049905345963,0.132949183860515,0.399999089206478,Inner,0.480790346875579,0.470707151357716
1995,0.279886533760056,0.241584548978958,0.521471082739013,0.253753830840476,0.135275958482176,0.389029789322652,Inner,0.475419884911631,0.471037857842781
1996,0.220729182591728,0.239398429837415,0.460127612429143,0.258991481234635,0.146805042793388,0.405796524028023,Inner,0.469255166600421,0.471368564327846
